net,model,avg_psnr,avg_ssim
net1,DehazeNet_epoch169.pth,19.405376993476644,0.8627751256177454
net1,DehazeNet_epoch57.pth,19.367845858737862,0.8671096607881262
net1,DehazeNet_epoch111.pth,19.429554174129667,0.8654607518753102
net1,DehazeNet_epoch147.pth,19.53586994768602,0.8684094357404948
net1,DehazeNet_epoch71.pth,19.190591369012203,0.8590456265418567
net1,DehazeNet_epoch80.pth,19.12501766743236,0.8594368025800354
net1,DehazeNet_epoch170.pth,19.508326065723704,0.8687117228097276
net1,DehazeNet_epoch168.pth,19.54530631809467,0.8678366982557831
net1,DehazeNet_epoch18.pth,19.017405369482184,0.8763477775577407
net1,DehazeNet_epoch79.pth,19.377401252148033,0.8658709580505299
net1,DehazeNet_epoch44.pth,19.14723475988164,0.869845260702098
net1,DehazeNet_epoch155.pth,19.43845637345835,0.864969076461027
net1,DehazeNet_epoch149.pth,19.451663863326917,0.8697474294273864
net1,DehazeNet_epoch163.pth,19.44274509527409,0.8682798161456846
net1,DehazeNet_epoch124.pth,19.500985874838044,0.868928074712582
net1,DehazeNet_epoch96.pth,19.328961030181247,0.8638626306539583
net1,DehazeNet_epoch56.pth,19.375331960788234,0.867635606410097
net1,DehazeNet_epoch87.pth,19.21180521820208,0.8618075748514702
net1,DehazeNet_epoch119.pth,19.450503293429126,0.8695041605829095
